 * Tip: There are .env files present. Install python-dotenv to use them.
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.140:5000
Press CTRL+C to quit
 * Restarting with stat
 * Tip: There are .env files present. Install python-dotenv to use them.
 * Debugger is active!
 * Debugger PIN: 242-374-426
127.0.0.1 - - [11/Aug/2026 23:03:24] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:03:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:03:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:03:58] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:02] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:06] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:09] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:58] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:58] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:58] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:58] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:58] "GET /static/portraits/npc/d-8913/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:58] "GET /static/portraits/npc/d-8912/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:58] "GET /static/portraits/npc/d-8910/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:04:58] "GET /static/portraits/npc/d-8911/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/scene HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "GET /static/portraits/npc/d-8910/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "GET /static/portraits/npc/d-8911/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "GET /static/portraits/npc/d-8912/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "GET /static/portraits/npc/d-8913/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "GET /static/illustrations/sd/background_scf_research_terminal_room_morning.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "GET /static/portraits/npc/d-8910/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "GET /static/portraits/npc/d-8911/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "GET /static/portraits/npc/d-8912/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:14] "GET /static/portraits/npc/d-8913/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:21] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:21] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 23:05:21] "POST /api/illustration/npc HTTP/1.1" 200 -
