 * Tip: There are .env files present. Install python-dotenv to use them.
 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.140:5000
Press CTRL+C to quit
 * Restarting with stat
 * Tip: There are .env files present. Install python-dotenv to use them.
 * Debugger is active!
 * Debugger PIN: 242-374-426
127.0.0.1 - - [11/Aug/2026 14:12:12] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:12:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:12:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:12:34] "GET /static/illustrations/sd/background_red_chimney_inn.webp?t=1786425154782 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:12:35] "GET /static/portraits/sd/portrait_volf.webp?t=1786425154782 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:12:35] "GET /static/illustrations/sd/object_round_table_1.webp?t=1786425154782 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:12:35] "GET /static/illustrations/sd/object_round_table_2.webp?t=1786425154782 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:12:35] "GET /static/illustrations/sd/object_long_table.webp?t=1786425154782 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:12:35] "GET /static/illustrations/sd/object_chair.webp?t=1786425154782 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:12:54] "POST /api/illustration/scene HTTP/1.1" 200 -
Settings -> Mode=base, Device=cuda:0, Torchscript=disabled
127.0.0.1 - - [11/Aug/2026 14:13:33] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:13:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:13:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:13:34] "GET /static/illustrations/sd/background_abandoned_factory_entrance_rain_autumn.webp?t=1786425214519 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:13:34] "GET /static/portraits/sd/portrait_volf.webp?t=1786425214519 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:13:34] "GET /static/illustrations/sd/object_round_table_1.webp?t=1786425214519 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:13:34] "GET /static/illustrations/sd/object_round_table_2.webp?t=1786425214519 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:13:35] "GET /static/illustrations/sd/object_long_table.webp?t=1786425214519 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:13:35] "GET /static/illustrations/sd/object_chair.webp?t=1786425214519 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:13:55] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:14:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:14:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:14:41] "POST /api/illustration/npc HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:14:41] "GET /static/illustrations/sd/background_abandoned_factory_entrance_rain_autumn.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:14:41] "GET /static/illustrations/sd/background_abandoned_factory_entrance_rain_autumn.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:14:41] "GET /static/portraits/npc/esse/neutral.webp HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:15:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:15:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:16:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:16:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:17:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:17:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:18:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:18:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:19:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:19:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:20:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:20:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:21:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:21:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:22:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:22:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:23:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:23:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:24:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:24:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:25:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:25:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:26:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:26:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:27:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:27:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:28:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:28:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:29:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:29:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:30:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:30:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:31:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:31:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:32:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:32:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:33:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:33:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:34:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:34:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:35:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:35:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:36:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:36:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:37:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:37:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:38:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:38:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:39:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:39:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:40:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:40:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:41:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:41:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:42:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:42:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:43:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:43:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:44:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:44:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:45:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:45:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:46:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:46:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:47:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:47:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:48:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:48:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:49:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:49:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:50:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:50:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:51:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:51:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:52:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:52:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:53:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:53:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:54:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:54:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:55:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:55:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:56:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:56:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:57:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:57:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:58:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:58:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:59:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 14:59:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:00:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:00:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:01:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:01:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:02:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:02:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:03:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:03:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:04:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:04:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:05:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:05:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:06:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:06:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:07:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:07:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:08:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:08:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:09:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:09:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:10:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:10:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:11:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:11:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:12:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:12:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:13:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:13:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:14:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:14:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:15:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:15:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:16:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:16:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:17:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:17:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:18:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:18:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:19:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:19:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:20:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:20:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:21:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:21:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:22:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:22:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:23:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:23:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:24:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:24:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:25:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:25:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:26:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:26:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:27:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:27:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:28:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:28:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:29:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:29:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:30:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:30:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:31:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:31:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:32:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:32:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:33:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:33:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:34:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:34:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:35:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:35:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:36:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:36:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:37:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:37:34] "GET /api/illustration HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:38:34] "GET /api/game-state HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2026 15:38:34] "GET /api/illustration HTTP/1.1" 200 -
